judge,family,avg_same_family,avg_other_family,same_family_bias,n_same,n_other
grok_code_fast,xai,9.69,7.648,2.042,10,78
qwen3_32b,qwen,9.315,8.069,1.246,79,96
qwen3_8b,qwen,9.511,8.347,1.164,70,102
claude_sonnet_46,anthropic,8.854,8.197,0.657,181,1377
claude_opus_46,anthropic,8.562,7.907,0.655,182,1397
claude_opus,anthropic,8.901,8.265,0.636,60,467
gpt_oss_120b,openai,8.389,7.776,0.613,188,1585
claude_sonnet,anthropic,9.289,8.727,0.562,59,461
gemini_31_pro,google,8.739,8.422,0.317,142,1399
minimax_m2,minimax,8.676,8.368,0.308,41,110
gpt_oss_legal,openai,8.833,8.554,0.279,6,57
minimax_m25,minimax,8.333,8.088,0.245,41,1289
grok_direct,xai,8.629,8.404,0.226,29,316
gemini_3_pro,google,9.706,9.539,0.167,32,153
grok_4_1_fast,xai,9.633,9.514,0.118,20,336
phi4,unknown,9.152,9.186,-0.034,21,86
gpt_5_4,openai,7.082,7.2,-0.118,172,1393
gemini_2_5_flash_lite,google,9.645,9.78,-0.135,10,79
granite_40,unknown,8.463,8.599,-0.137,27,94
llama31_8b,meta,8.915,9.124,-0.209,13,91
mistral_nemo,mistral,8.371,8.582,-0.212,12,88
devstral,mistral,8.562,8.844,-0.282,13,97
gemini_2_5_flash,google,9.233,9.525,-0.292,45,216
minimax_01,minimax,9.018,9.327,-0.309,38,26
nemotron_3_super,unknown,3.475,3.95,-0.475,2,6
minimax_m27,minimax,8.499,9.138,-0.639,41,25
gpt_codex,openai,6.863,7.503,-0.64,19,229
minimax_m21,minimax,8.363,9.133,-0.771,44,24
minimax_m1,minimax,8.08,8.923,-0.843,40,26
llama4_scout,meta,7.965,8.974,-1.009,13,97
kimi_k25,unknown,4.362,5.824,-1.461,4,17
gemini_25_flash,google,7.498,9.038,-1.54,27,255
gemini_3_flash,google,7.761,9.466,-1.705,169,1198
gemma3_27b,google,2.4,8.814,-6.414,1,112
